,NIC,NIE,TPE,UR,PO 15y,QOF,EP,UP,NLF,
Hokkaido,47,8108,1052,2.6,4688,2728,2658,70,1958,
Aomori,6,107,0.57,2.5,1115,667,650,17,447,
Iwate,41,7761,0.8,2.1,1092,677,663,14,414,
Miyagi,70,9096,970,2.5,2035,1255,1224,32,779,
Akita,22,2453,838,2.8,874,504,490,14,370,
Yamagata,74,5507,853,1.7,956,594,584,10,362,
Fukushima,92,9664,958,2.1,1637,998,977,21,638,
Ibaraki,164,13360,746,2.4,2519,1531,1496,36,985,
Tochigi,215,26575,1014,2.2,1699,1050,1027,23,648,
Gunma,426,48100,1833,2.2,1711,1043,1020,23,666,
Saitama,441,40202,1239,2.3,6461,4077,3984,93,2377,
Chiba,66,2365,896,2.1,5515,3422,3349,73,2089,
Kyoto,63,15323,737,2.3,12343,8254,8061,193,4077,
Kanagawa,398,47423,1814,2.1,8089,5198,5088,110,2884,
Niigata,92,5627,757,2.1,1972,1205,1181,25,766,
Toyama,60,5281,971,1.8,925,570,561,10,354,
Ishikawa,52,4224,1024,1.6,998,626,616,10,371,
Fukui,19,4322,920,1.4,672,428,422,6,243,
Yamanashi,54,3592,929,2,716,455,446,9,261,
Nagano,196,13056,937,2,1800,1152,1129,23,647,
Gifu,236,24822,894,1.3,1738,1145,1130,15,592,
Shizuoka,889,83508,1649,2,3196,2032,1992,40,1162,
Aichi,1467,294879,1957,1.9,6550,4227,4149,79,2317,
Mie,234,39570,1369,1.2,1563,1001,989,12,561,
Saga,84,13143,903,1.9,1217,783,768,15,434,
Tokyo,168,6570,893,2.4,2284,1400,1368,33,880,
Osaka,200,18495,1279,2.9,7760,4718,4579,138,3028,
Hy?go,161,13223,1023,2.2,4793,2808,2745,63,1983,
Nara,27,3144,1248,1.9,1173,670,656,13,503,
Wakayama,9,533,1201,1.6,819,487,479,8,331,
Tottori,15,1222,650,2.3,486,305,299,7,181,
Shimane,27,2335,1141,1.6,593,365,359,6,227,
Okayama,147,14861,939,2.3,1653,974,952,22,678,
Hiroshima,200,40544,1329,2.4,2447,1475,1440,35,970,
Yamaguchi,46,8874,987,1.8,1202,706,693,13,496,
Tokushima,7,161,825,1.9,647,363,357,7,283,
Kagawa,9,266,1629,2,840,499,489,10,340,
Ehime,11,396,855,1.7,1182,693,682,12,487,
Kochi,8,347,526,1.9,622,362,355,7,260,
Fukuoka,120,30451,1204,2.8,4432,2660,2585,75,1769,
Shiga,21,1838,1731,1.9,705,432,424,8,274,
Nagasaki,5,487,973,2.2,1161,689,673,15,472,
Kumamoto,47,8465,800,2.6,1516,936,911,24,580,
Oita,36,7587,814,2,997,605,593,12,391,
Miyazaki,14,1867,762,1.6,931,563,554,9,368,
Kagoshima,6,443,1418,2.6,1391,818,797,21,572,
Okinawa,4,40,932,2.7,1206,746,726,20,459,
