,NIC,NIE,TPE,UR,PO 15y,QOF,EP,UP,NLF
NewTaipeiCity,412,8026,3390,3.8,3493,2070,1991,79,1424
TaipeiCity,23,176,4053,3.7,2293,1336,1286,50,957
Taoyuan,461,25085,7899,3.8,1876,1074,1033,41,802
TaichungCity,464,11267,3628,3.7,2381,1384,1333,52,996
Tainan?City,567,24577,3676,3.7,1631,1030,991,38,602
Kaohsiung?City,178,4687,4348,3.7,2405,1401,1349,51,1004
Yilan,11,391,2346,3.7,394,242,233,9,152
Hsinchu,66,3508,5404,3.8,465,284,273,11,181
Miaoli,50,4112,16944,3.7,473,276,266,10,196
Changhua,354,10492,3248,3.7,1099,648,624,24,451
Nantou,19,697,3264,3.7,435,271,261,10,164
Yunlin,28,1897,4078,3.6,598,358,345,13,240
Chiayi,46,1795,3124,3.7,452,274,264,10,178
Pingtung,41,2721,11476,3.7,717,444,427,17,273
Taitung,0,0,0,3.6,186,111,107,4,76
Hualien,1,8,1101,3.6,278,158,152,6,120
KeelungCity,8,88,6424,3.8,328,188,181,7,139
HsinchuCity,20,424,1957,3.7,367,216,208,8,151
ChiayiCity,10,81,3904,3.7,229,136,131,5,93
